,0,1,2,3
0,0.11093793167725688,0.05710452273058496,0.06874729877220953,0.058878275963713395
1,0.027215105343261308,0.030343634100726713,0.04491830518470031,0.0716351660463259
2,0.06477404040730024,0.046964313003970956,0.04808362879300527,0.04408148768566416
6,0.09019280292575567,0.05016100799290674,0.0739969767352666,0.025885502494087692
3,0.0382484301421827,0.010414160440834291,0.0044766012611518885,0.014203327576473164
5,0.0,0.0,0.0,0.0
4,0.13999088197147316,0.11329257209913278,0.046344375694939516,0.05796916734095834
7,0.0,0.0,0.0,0.0
8,0.07264808569377282,0.11449877859444116,0.0979063472012254,0.18001342795651457
12,0.0,0.0,0.0,0.0
10,0.2540107867484001,0.19964500873851576,0.14661571708495744,0.0788665359998891
14,0.32698942469610603,0.646833052761801,0.4300477305881209,0.5348467937001411
13,0.18401703008440945,0.3151466646124251,0.38033842490751646,0.2980146896144419
9,0.138912665905258,0.256753084765437,0.19108504083706576,0.13922032454610203
11,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
